dup1,dup2,type
Zm00001eb207540,Zm00001eb273760,SD
Zm00001eb074430,Zm00001eb249850,SD
Zm00001eb047830,Zm00001eb222880,SD
Zm00001eb390320,Zm00001eb024320,SD
Zm00001eb155010,Zm00001eb361410,SD
Zm00001eb155010,Zm00001eb294190,SD
Zm00001eb139250,Zm00001eb407720,SD
Zm00001eb000870,Zm00001eb404070,SD
Zm00001eb000870,Zm00001eb043720,SD
Zm00001eb000340,Zm00001eb404410,SD
Zm00001eb271550,Zm00001eb375530,SD
Zm00001eb029610,Zm00001eb136230,SD
Zm00001eb171790,Zm00001eb413080,SD
Zm00001eb404370,Zm00001eb000520,SD
Zm00001eb156610,Zm00001eb360480,SD
Zm00001eb156610,Zm00001eb295210,SD
Zm00001eb360480,Zm00001eb295210,SD
Zm00001eb361410,Zm00001eb294190,SD
Zm00001eb294190,Zm00001eb160490,SD
Zm00001eb023270,Zm00001eb391270,SD
Zm00001eb187690,Zm00001eb251100,SD
Zm00001eb149800,Zm00001eb369050,SD
Zm00001eb434410,Zm00001eb076460,SD
Zm00001eb070840,Zm00001eb430870,SD
Zm00001eb351570,Zm00001eb289850,SD
Zm00001eb343660,Zm00001eb295800,SD
Zm00001eb343660,Zm00001eb157190,SD
Zm00001eb395310,Zm00001eb015660,SD
Zm00001eb229270,Zm00001eb210110,SD
Zm00001eb295800,Zm00001eb359990,SD
Zm00001eb295800,Zm00001eb157190,SD
Zm00001eb268610,Zm00001eb209850,SD
Zm00001eb380840,Zm00001eb280900,SD
Zm00001eb323810,Zm00001eb106680,SD
Zm00001eb359990,Zm00001eb157190,SD
Zm00001eb152970,Zm00001eb371050,SD
Zm00001eb298600,Zm00001eb118180,SD
Zm00001eb432020,Zm00001eb068620,SD
Zm00001eb163250,Zm00001eb404830,SD
Zm00001eb163250,Zm00001eb094250,SD
Zm00001eb094250,Zm00001eb194950,SD
Zm00001eb404830,Zm00001eb194950,SD
Zm00001eb299670,Zm00001eb059270,SD
Zm00001eb388040,Zm00001eb206130,SD
Zm00001eb043720,Zm00001eb220400,SD
Zm00001eb413290,Zm00001eb070230,SD
Zm00001eb413290,Zm00001eb431240,SD
Zm00001eb326610,Zm00001eb108390,SD
Zm00001eb355010,Zm00001eb265240,SD
Zm00001eb287260,Zm00001eb350870,SD
Zm00001eb041840,Zm00001eb312210,SD
Zm00001eb390440,Zm00001eb024560,SD
Zm00001eb174440,Zm00001eb260170,SD
Zm00001eb188560,Zm00001eb252300,SD
Zm00001eb330260,Zm00001eb111100,SD
Zm00001eb330260,Zm00001eb016680,SD
Zm00001eb111100,Zm00001eb016680,SD
Zm00001eb102050,Zm00001eb316990,SD
Zm00001eb324930,Zm00001eb107250,SD
Zm00001eb153100,Zm00001eb371020,SD
Zm00001eb031290,Zm00001eb135720,SD
Zm00001eb031290,Zm00001eb050880,SD
Zm00001eb135720,Zm00001eb050880,SD
Zm00001eb400280,Zm00001eb008570,SD
Zm00001eb371020,Zm00001eb353320,SD
Zm00001eb122250,Zm00001eb337050,SD
Zm00001eb024600,Zm00001eb390530,SD
Zm00001eb072510,Zm00001eb428300,SD
Zm00001eb088090,Zm00001eb419770,SD
Zm00001eb296870,Zm00001eb159010,SD
Zm00001eb193530,Zm00001eb256170,SD
Zm00001eb193530,Zm00001eb278990,SD
Zm00001eb256170,Zm00001eb278990,SD
Zm00001eb079300,Zm00001eb425140,SD
Zm00001eb209850,Zm00001eb229410,SD
Zm00001eb394410,Zm00001eb017430,SD
Zm00001eb399840,Zm00001eb009110,SD
Zm00001eb192340,Zm00001eb257890,SD
Zm00001eb188030,Zm00001eb251620,SD
Zm00001eb161780,Zm00001eb357950,SD
Zm00001eb192500,Zm00001eb257690,SD
Zm00001eb077900,Zm00001eb426220,SD
Zm00001eb283610,Zm00001eb121520,SD
Zm00001eb121520,Zm00001eb337240,SD
Zm00001eb023450,Zm00001eb391380,SD
Zm00001eb012760,Zm00001eb397430,SD
Zm00001eb300740,Zm00001eb213190,SD
Zm00001eb300740,Zm00001eb060220,SD
Zm00001eb017000,Zm00001eb394610,SD
Zm00001eb312360,Zm00001eb099340,SD
Zm00001eb252790,Zm00001eb189030,SD
Zm00001eb433610,Zm00001eb066400,SD
Zm00001eb158110,Zm00001eb359400,SD
Zm00001eb214970,Zm00001eb057140,SD
Zm00001eb000590,Zm00001eb404310,SD
Zm00001eb432730,Zm00001eb067530,SD
Zm00001eb384230,Zm00001eb277410,SD
Zm00001eb060220,Zm00001eb213190,SD
Zm00001eb037470,Zm00001eb198490,SD
Zm00001eb404940,Zm00001eb195140,SD
Zm00001eb417970,Zm00001eb354310,SD
Zm00001eb109270,Zm00001eb327470,SD
Zm00001eb365340,Zm00001eb144170,SD
Zm00001eb007050,Zm00001eb400460,SD
Zm00001eb093980,Zm00001eb195140,SD
Zm00001eb127880,Zm00001eb333450,SD
Zm00001eb253140,Zm00001eb189120,SD
Zm00001eb106120,Zm00001eb322860,SD
Zm00001eb292350,Zm00001eb352890,SD
Zm00001eb292350,Zm00001eb151690,SD
Zm00001eb265670,Zm00001eb355300,SD
Zm00001eb413950,Zm00001eb430630,SD
Zm00001eb175670,Zm00001eb038670,SD
Zm00001eb330790,Zm00001eb111630,SD
Zm00001eb098590,Zm00001eb310930,SD
Zm00001eb165660,Zm00001eb115720,SD
Zm00001eb277540,Zm00001eb384660,SD
Zm00001eb396680,Zm00001eb013860,SD
Zm00001eb352890,Zm00001eb151690,SD
Zm00001eb232170,Zm00001eb208060,SD
Zm00001eb129790,Zm00001eb332210,SD
Zm00001eb322530,Zm00001eb105830,SD
Zm00001eb105540,Zm00001eb322020,SD
Zm00001eb155860,Zm00001eb360840,SD
Zm00001eb067080,Zm00001eb433100,SD
Zm00001eb430160,Zm00001eb251590,SD
Zm00001eb035960,Zm00001eb174880,SD
Zm00001eb035960,Zm00001eb317410,SD
Zm00001eb342670,Zm00001eb155860,SD
Zm00001eb431930,Zm00001eb068880,SD
Zm00001eb342680,Zm00001eb360840,SD
Zm00001eb342680,Zm00001eb155890,SD
Zm00001eb321900,Zm00001eb105400,SD
Zm00001eb387800,Zm00001eb275640,SD
Zm00001eb222050,Zm00001eb046220,SD
Zm00001eb158050,Zm00001eb359440,SD
Zm00001eb106890,Zm00001eb324250,SD
Zm00001eb223160,Zm00001eb048220,SD
Zm00001eb223160,Zm00001eb281600,SD
Zm00001eb079970,Zm00001eb424700,SD
Zm00001eb135220,Zm00001eb030540,SD
Zm00001eb050350,Zm00001eb218650,SD
Zm00001eb115830,Zm00001eb165420,SD
Zm00001eb360580,Zm00001eb156300,SD
Zm00001eb360580,Zm00001eb294920,SD
Zm00001eb156300,Zm00001eb294920,SD
Zm00001eb431870,Zm00001eb068960,SD
Zm00001eb139750,Zm00001eb362160,SD
Zm00001eb094340,Zm00001eb163140,SD
Zm00001eb094340,Zm00001eb194940,SD
Zm00001eb053110,Zm00001eb217290,SD
